english,chinese,avoid,scope,context,source,review,notes
Heavy Tank,重型坦克,,all,"重甲低速",community,pending,
Artillery,火炮,|炮兵,all,"远程曲射",community,pending,
Harvester,采矿车,|收割机,all,"采 Ore/Tiberium",community,pending,
=== 通用飞行单位 ===
Heli,直升机,,all,"通用直升机缩写",community,pending,
Helicopter,直升机,,all,"完整称谓",community,pending,
=== 地图与战役 ===
Map,地图,,all,"通用地图",community,pending,
Mission,关卡,|任务|战役关卡,all,"战役关卡",community,pending,
Campaign,战役,,all,"战役模式",community,pending,
Briefing,任务简报,|简介,all,"关卡开始前的简报文本",community,pending,
Objective,目标,,all,"任务目标",community,pending,
Primary Objective,主要目标,,all,"主要任务目标",community,pending,
Secondary Objective,次要目标,,all,"次要任务目标",community,pending,
Victory,胜利,,all,"胜利条件",community,pending,
Defeat,失败,,all,"失败条件",community,pending,
=== 战斗与状态 ===
Health,生命值,|血量|HP,all,"单位当前血量",community,pending,
Armor,装甲,|护甲,all,"单位护甲值",community,pending,
Damage,伤害,|杀伤,all,"攻击伤害",community,pending,
Range,射程,|攻击距离,all,"武器射程",community,pending,
Sight,视野,|视距,all,"单位视野",community,pending,
Speed,速度,,all,"移动速度",community,pending,
Firepower,火力,|攻击,all,"攻击能力综合",community,pending,
Reload,装填时间,|重新装填,all,"两次攻击间隔",community,pending,
Accuracy,精度,|命中率,all,"武器命中",community,pending,
=== 玩家与控制 ===
Spawn,生成,|刷新,all,"单位出现位置",community,pending,
Waypoint,航点,|路径点,all,"移动路径点",community,pending,
Beacon,信号弹,|信标,all,"地图标记",community,pending,
Radar,雷达,,all,"探测设施/视野",community,pending,
Reinforcements,增援,|援军,all,"抵达战场的援军",community,pending,
=== 字体（待定） ===
Source Han Sans,思源黑体,,all,"字体名——OpenRA UI 不显示，仅作记录",official,approved,"Apache 2.0"
